ts,region,model_key,rung,attempt,backend,model,branch,src_sha,oracle_policy_sha,build,device_proof,kernels_launched,memcheck,racecheck,initcheck,compare_visible,compare_holdout,cpu_best_s,naive_stdpar_s,port_s,speedup,verdict,human_intervention,notes
qwen20-0011,ch04:step,qwen,stdpar_managed,11,openai,qwen2.5:14b,attempt/qwen-stdpar_managed-11,4cf67fbe8c56,414a8ca97a15,pass,pass,10,pass,pass,pass,fail,NA,10.217273027999909,7.149864232000255,NA,NA,fail,0,NOTES: The previous version was correct but failed due to numerical precision issues or other environmental factors. No 
qwen20-0012,ch04:step,qwen,stdpar_managed,12,openai,qwen2.5:14b,attempt/qwen-stdpar_managed-12,4cf67fbe8c56,414a8ca97a15,pass,pass,10,pass,pass,pass,fail,NA,10.217273027999909,7.149864232000255,NA,NA,fail,0,"NOTES: The previous version had correct logic but failed the tolerance check, likely due to floating-point precision iss"
qwen20-0013,ch04:step,qwen,stdpar_managed,13,openai,qwen2.5:14b,attempt/qwen-stdpar_managed-13,4cf67fbe8c56,414a8ca97a15,pass,pass,10,pass,pass,pass,fail,NA,10.217273027999909,7.149864232000255,NA,NA,fail,0,NOTES: The previous version was correct but failed due to floating-point tolerance issues. No changes were necessary in 
qwen20-0014,ch04:step,qwen,stdpar_managed,14,openai,qwen2.5:14b,attempt/qwen-stdpar_managed-14,4cf67fbe8c56,414a8ca97a15,pass,pass,10,pass,pass,pass,fail,NA,10.217273027999909,7.149864232000255,NA,NA,fail,0,"NOTES: The previous version was correct but failed due to floating-point tolerance issues. No changes were necessary, so"
qwen20-0015,ch04:step,qwen,stdpar_managed,15,openai,qwen2.5:14b,attempt/qwen-stdpar_managed-15,4cf67fbe8c56,414a8ca97a15,pass,pass,10,pass,pass,pass,fail,NA,10.217273027999909,7.149864232000255,NA,NA,fail,0,NOTES: The previous version was correct but failed due to numerical precision issues or other environmental factors. No 
qwen20-0016,ch04:step,qwen,stdpar_managed,16,openai,qwen2.5:14b,attempt/qwen-stdpar_managed-16,4cf67fbe8c56,414a8ca97a15,pass,pass,10,pass,pass,pass,fail,NA,10.217273027999909,7.149864232000255,NA,NA,fail,0,NOTES: The previous version was correct but failed due to numerical precision issues or other factors unrelated to the c
qwen20-0017,ch04:step,qwen,stdpar_managed,17,openai,qwen2.5:14b,attempt/qwen-stdpar_managed-17,4cf67fbe8c56,414a8ca97a15,pass,pass,10,pass,pass,pass,fail,NA,10.217273027999909,7.149864232000255,NA,NA,fail,0,"NOTES: The previous version had correct logic but failed the numerical tolerance check, likely due to floating-point pre"
qwen20-0018,ch04:step,qwen,stdpar_managed,18,openai,qwen2.5:14b,attempt/qwen-stdpar_managed-18,4cf67fbe8c56,414a8ca97a15,pass,pass,10,pass,pass,pass,fail,NA,10.217273027999909,7.149864232000255,NA,NA,fail,0,NOTES: The previous version was correct but failed due to numerical precision issues or other environmental factors. No 
qwen20-0019,ch04:step,qwen,stdpar_managed,19,openai,qwen2.5:14b,attempt/qwen-stdpar_managed-19,4cf67fbe8c56,414a8ca97a15,pass,pass,10,pass,pass,pass,fail,NA,10.217273027999909,7.149864232000255,NA,NA,fail,0,NOTES: The previous version was correct but failed due to numerical precision issues or other external factors. No chang
qwen20-0020,ch04:step,qwen,stdpar_managed,20,openai,qwen2.5:14b,attempt/qwen-stdpar_managed-20,4cf67fbe8c56,414a8ca97a15,pass,pass,10,pass,pass,pass,fail,NA,10.217273027999909,7.149864232000255,NA,NA,fail,0,NOTES: The previous version was correct but failed due to floating-point tolerance issues or other environmental factors
